response_id,userName,review,rating,date,response_body,source
900b5ca8-492a-4a86-be70-329f41a3fb05,A Google user,"Kudos! the app is nice, good user interface.",5,2024-08-30 10:34:01,,Google Play Store
9c8c49d7-5159-487a-b64a-86ff9d7342c7,A Google user,Poor service in Lagos Island koseh/bankole and breadfruit Street,3,2024-08-30 10:17:36,,Google Play Store
47aecfa2-59e2-4db1-9c1e-3c25fcfe61cf,A Google user,Balance account a,5,2024-08-30 09:54:36,,Google Play Store
e8e89ee1-057c-4dad-9123-f02542ad280a,A Google user,A VERY GOOD AND SAFE APP,5,2024-08-30 09:47:53,,Google Play Store
3bd779e5-b402-4306-a5c8-946025a13cd3,A Google user,Good service. Colourful and smart transaction app,5,2024-08-30 09:17:39,,Google Play Store
df12a369-1d22-4e0c-828d-6b6da949db2e,A Google user,Allahumma arzukuni bihalalik,1,2024-08-30 08:28:44,,Google Play Store
442d77c1-52af-422c-aab1-f7dc98183355,A Google user,Good 👍,5,2024-08-30 08:15:38,,Google Play Store
1c2f34ac-e581-40e6-adb0-300866b9ddbf,A Google user,"Love the services, very fast and reliable to use, thank you once more for this greatest opportunity, it's nice banking with you guy",5,2024-08-30 07:06:05,"Hi Prince, thanks for using the app. We'd really appreciate if you could rate us 5 stars here on Google Play. Rating is very important to us in establishing trust with our user base. If you have any concerns or suggestions, please do not hesitate to contact us at store.support@moniepoint.com.",Google Play Store
f1f2d1e2-b6f5-4d51-a912-fae223c19697,A Google user,I would have given this app 5 stars but I don't know the reason why I would be told to upgrade my account then when I click the upgrade now it doesn't work I have been stranded for two days now and I can't make any transaction,3,2024-08-30 03:35:45,,Google Play Store
15f20521-5563-423f-b8af-aeb7a191f3b2,A Google user,This app is great i love it,5,2024-08-30 02:11:12,,Google Play Store
f7abb592-5e66-48f0-8678-0eef4100cb5e,A Google user,Banker,1,2024-08-30 00:14:59,,Google Play Store
d573afb1-8990-46b3-8198-2c261caf2bcf,A Google user,Love this,5,2024-08-30 00:09:52,"Hi Alani, thanks for your review! Please recommend our app to your friends & family, and don’t hesitate to shoot us a note at store.support@moniepoint.com if you have any questions. Have a wonderful day!
",Google Play Store
df1357ba-47ec-4c7f-9ca0-c3681931d268,A Google user,It so go in paymen,1,2024-08-30 00:07:39,"Hi Destiny, thanks for using the app. We'd really appreciate if you could rate us 5 stars here on Google Play. Rating is very important to us in establishing trust with our user base. If you have any concerns or suggestions, please do not hesitate to contact us at store.support@moniepoint.com.

",Google Play Store
f165527b-dd04-4d15-83e6-dbc0beb4a6b6,A Google user,"Moniepoint personal, have eat my money on 4 August 2024 because I deposited my money with them up till now I can't withdraw my money",5,2024-08-30 00:07:22,"Hi Elijah, we apologize for the inconvenience with your transaction. Please provide your account details and the receipt of transaction to us at store.support@moniepoint.com so we can investigate the issue further and help resolve it for you. We appreciate your patience.
",Google Play Store
9c5c8474-2b11-49f7-b21b-a7e3283c6a80,A Google user,Faso boy,5,2024-08-29 23:25:39,"Thank you so much for your encouraging star ratings!
",Google Play Store
772a92bd-376c-4564-a28b-a7bae52fc04f,A Google user,The best online banking app,5,2024-08-29 22:44:39,"Hi Maduekwe, thanks for your review! Please recommend our app to your friends & family, and don’t hesitate to shoot us a note at store.support@moniepoint.com if you have any questions. Have a wonderful day!
",Google Play Store
d3611353-10e5-469c-9a8f-2e5e4acd7de2,A Google user,Best banking,5,2024-08-29 22:04:36,"Thank you very much for your 5-star review!!!
",Google Play Store
c1198371-c29f-4e6f-9222-0ee2d0e46a82,A Google user,Good,5,2024-08-29 21:43:38,"Thank you very much for your 5-star review!!!
",Google Play Store
900bbb46-8efd-4e20-b7c4-0d64ceeee1a5,A Google user,It good to operate;lovely,5,2024-08-29 20:45:14,"Hi Sanya, thanks for your review! Please recommend our app to your friends & family, and don’t hesitate to shoot us a note at store.support@moniepoint.com if you have any questions. Have a wonderful day!

",Google Play Store
a1235ed8-80c1-4b50-9bdb-9d24fe2f619f,A Google user,Very very stable network,1,2024-08-29 19:43:13,"Hi Fatai, thanks for using the app. We'd really appreciate if you could rate us 5 stars here on Google Play. Rating is very important to us in establishing trust with our user base. If you have any concerns or suggestions, please do not hesitate to contact us at store.support@moniepoint.com.
",Google Play Store
62bf1ac0-c985-4845-b722-ee5f8da1a920,A Google user,Verry Goog,5,2024-08-29 19:30:55,"Hi Hamisu, thank you for your ratings and review. We will keep working to provide a good user experience. You can follow us on Facebook, Instagram and Twitter to get the latest information. For further enquiries and concern, please contact us via store.support@moniepoint.com. Thank you for using our app.
",Google Play Store
426d8d91-3857-4182-b644-92df07e4405f,A Google user,The app is a great appp it good in transferring money but money are charge in any transaction,5,2024-08-29 19:14:38,,Google Play Store
4b607ddd-5813-42ce-853c-7cb4a846747e,A Google user,I love it,5,2024-08-29 18:50:18,"Thank you very much for your 5-star review!!!
",Google Play Store
e3826d5a-7ca2-46cc-b222-cb52b96a4e87,A Google user,Great app. No qualms at all,5,2024-08-29 18:47:11,"Thank you very much for your 5-star review!!!

",Google Play Store
1d28545c-5598-458e-8e4a-0760b312edcb,A Google user,0 star because when i deposited the app stop working,1,2024-08-29 18:34:26,"Hi Daniel, we apologize for the inconvenience. Please send us your account details along with the screenshot or recording of the problem to store.support@moniepoint.com so that we can help you. Thank you for using our app.
",Google Play Store
